Year,Province,Crop,Yield
2013,Manitoba,"Rye, all",3100
2014,Manitoba,"Rye, all",3000
2015,Manitoba,"Rye, all",3000
2016,Manitoba,"Rye, all",3300
2017,Manitoba,"Rye, all",4340
2018,Manitoba,"Rye, all",3841
2019,Manitoba,"Rye, all",3789
2020,Manitoba,"Rye, all",4075
2021,Manitoba,"Rye, all",3521
2022,Manitoba,"Rye, all",3520
2012,Manitoba,Soybeans,2300
2013,Manitoba,Soybeans,2500
2014,Manitoba,Soybeans,2100
2015,Manitoba,Soybeans,2400
2016,Manitoba,Soybeans,2800
2017,Manitoba,Soybeans,2400
2018,Manitoba,Soybeans,2288
2019,Manitoba,Soybeans,1964
2020,Manitoba,Soybeans,2508
2021,Manitoba,Soybeans,1964
2022,Manitoba,Soybeans,2890
2012,Manitoba,Sugar beets,
2013,Manitoba,Sugar beets,
2014,Manitoba,Sugar beets,
2015,Manitoba,Sugar beets,
2016,Manitoba,Sugar beets,
2017,Manitoba,Sugar beets,
2018,Manitoba,Sugar beets,
2019,Manitoba,Sugar beets,
2020,Manitoba,Sugar beets,
2021,Manitoba,Sugar beets,
2022,Manitoba,Sugar beets,
2012,Manitoba,Triticale,
2013,Manitoba,Triticale,
2014,Manitoba,Triticale,
2015,Manitoba,Triticale,
2016,Manitoba,Triticale,
2017,Manitoba,Triticale,
2018,Manitoba,Triticale,2079
2019,Manitoba,Triticale,
2020,Manitoba,Triticale,
2021,Manitoba,Triticale,
2022,Manitoba,Triticale,
2012,Manitoba,"Wheat, all",3300
2013,Manitoba,"Wheat, all",3800
2014,Manitoba,"Wheat, all",3300
2015,Manitoba,"Wheat, all",3400
2016,Manitoba,"Wheat, all",3500
2017,Manitoba,"Wheat, all",3299
2018,Manitoba,"Wheat, all",4099
2019,Manitoba,"Wheat, all",4088
2020,Manitoba,"Wheat, all",4126
2021,Manitoba,"Wheat, all",3223
2022,Manitoba,"Wheat, all",3906
2012,Manitoba,"Wheat, durum",
2013,Manitoba,"Wheat, durum",
2014,Manitoba,"Wheat, durum",
2015,Manitoba,"Wheat, durum",
2016,Manitoba,"Wheat, durum",
2017,Manitoba,"Wheat, durum",
2018,Manitoba,"Wheat, durum",
2019,Manitoba,"Wheat, durum",3662
2020,Manitoba,"Wheat, durum",2811
2021,Manitoba,"Wheat, durum",2691
2022,Manitoba,"Wheat, durum",3763
2012,Manitoba,"Wheat, all excluding durum wheat",3300
2013,Manitoba,"Wheat, all excluding durum wheat",3800
2014,Manitoba,"Wheat, all excluding durum wheat",3300
2015,Manitoba,"Wheat, all excluding durum wheat",3400
2016,Manitoba,"Wheat, all excluding durum wheat",3500
2017,Manitoba,"Wheat, all excluding durum wheat",4124
2018,Manitoba,"Wheat, all excluding durum wheat",4101
2019,Manitoba,"Wheat, all excluding durum wheat",4090
2020,Manitoba,"Wheat, all excluding durum wheat",4139
2021,Manitoba,"Wheat, all excluding durum wheat",3226
2022,Manitoba,"Wheat, all excluding durum wheat",3907
2012,Saskatchewan,Barley,2400
2013,Saskatchewan,Barley,3600
2014,Saskatchewan,Barley,2900
2015,Saskatchewan,Barley,3300
2016,Saskatchewan,Barley,3800
2017,Saskatchewan,Barley,3600
2018,Saskatchewan,Barley,3372
2019,Saskatchewan,Barley,3730
2020,Saskatchewan,Barley,3690
2021,Saskatchewan,Barley,1908
2022,Saskatchewan,Barley,3409
2012,Saskatchewan,Canola (rapeseed),1400
2013,Saskatchewan,Canola (rapeseed),2100
2014,Saskatchewan,Canola (rapeseed),1800
2015,Saskatchewan,Canola (rapeseed),2100
2016,Saskatchewan,Canola (rapeseed),2400
2017,Saskatchewan,Canola (rapeseed),2200
2018,Saskatchewan,Canola (rapeseed),2282
2019,Saskatchewan,Canola (rapeseed),2396
2020,Saskatchewan,Canola (rapeseed),2395
2021,Saskatchewan,Canola (rapeseed),1445
2022,Saskatchewan,Canola (rapeseed),2127
2012,Saskatchewan,Corn for grain,
2013,Saskatchewan,Corn for grain,
2014,Saskatchewan,Corn for grain,
2015,Saskatchewan,Corn for grain,
2016,Saskatchewan,Corn for grain,
2017,Saskatchewan,Corn for grain,
2018,Saskatchewan,Corn for grain,5711
2019,Saskatchewan,Corn for grain,
2020,Saskatchewan,Corn for grain,3563
2021,Saskatchewan,Corn for grain,4879
2022,Saskatchewan,Corn for grain,
2012,Saskatchewan,Corn for silage,34210
2013,Saskatchewan,Corn for silage,35280
2014,Saskatchewan,Corn for silage,35280
2015,Saskatchewan,Corn for silage,29460
2016,Saskatchewan,Corn for silage,40890
2017,Saskatchewan,Corn for silage,40420
2018,Saskatchewan,Corn for silage,36579
2019,Saskatchewan,Corn for silage,30948
2020,Saskatchewan,Corn for silage,28851
2021,Saskatchewan,Corn for silage,21234
2022,Saskatchewan,Corn for silage,23650
2012,Saskatchewan,"Peas, dry",2000
2013,Saskatchewan,"Peas, dry",2900
2014,Saskatchewan,"Peas, dry",2200
2015,Saskatchewan,"Peas, dry",2100
2016,Saskatchewan,"Peas, dry",2700
2017,Saskatchewan,"Peas, dry",2300
2018,Saskatchewan,"Peas, dry",2319
2019,Saskatchewan,"Peas, dry",2488
2020,Saskatchewan,"Peas, dry",2655
2021,Saskatchewan,"Peas, dry",1354
2022,Saskatchewan,"Peas, dry",2160
2012,Saskatchewan,"Rye, all",2600
2013,Saskatchewan,"Rye, all",2100
2014,Saskatchewan,"Rye, all",2100
2015,Saskatchewan,"Rye, all",1600
2016,Saskatchewan,"Rye, all",3100
2017,Saskatchewan,"Rye, all",3200
2018,Saskatchewan,"Rye, all",2194
2019,Saskatchewan,"Rye, all",2895
2020,Saskatchewan,"Rye, all",2572
2021,Saskatchewan,"Rye, all",2373
2022,Saskatchewan,"Rye, all",2917
2012,Saskatchewan,Soybeans,
2013,Saskatchewan,Soybeans,1800
2014,Saskatchewan,Soybeans,1600
2015,Saskatchewan,Soybeans,1700
2016,Saskatchewan,Soybeans,2200
2017,Saskatchewan,Soybeans,1400
2018,Saskatchewan,Soybeans,1416
2019,Saskatchewan,Soybeans,1903
2020,Saskatchewan,Soybeans,1345
2021,Saskatchewan,Soybeans,1481
2022,Saskatchewan,Soybeans,2005
2018,Saskatchewan,Sugar beets,
2019,Saskatchewan,Sugar beets,
2020,Saskatchewan,Sugar beets,
2021,Saskatchewan,Sugar beets,0
2022,Saskatchewan,Sugar beets,
2012,Saskatchewan,Triticale,2700
2013,Saskatchewan,Triticale,2100
2014,Saskatchewan,Triticale,2400
2015,Saskatchewan,Triticale,1700
2016,Saskatchewan,Triticale,2800
2017,Saskatchewan,Triticale,1600
2018,Saskatchewan,Triticale,2651
2019,Saskatchewan,Triticale,2251
2020,Saskatchewan,Triticale,1704
2021,Saskatchewan,Triticale,1515
2022,Saskatchewan,Triticale,1641
2012,Saskatchewan,"Wheat, all",2500
2013,Saskatchewan,"Wheat, all",3300
2014,Saskatchewan,"Wheat, all",2700
2015,Saskatchewan,"Wheat, all",2500
2016,Saskatchewan,"Wheat, all",3200
2017,Saskatchewan,"Wheat, all",2323
2018,Saskatchewan,"Wheat, all",2874
2019,Saskatchewan,"Wheat, all",3032
2020,Saskatchewan,"Wheat, all",3138
2021,Saskatchewan,"Wheat, all",1890
2022,Saskatchewan,"Wheat, all",2879
2012,Saskatchewan,"Wheat, durum",2400
2013,Saskatchewan,"Wheat, durum",3200
2014,Saskatchewan,"Wheat, durum",2700
2015,Saskatchewan,"Wheat, durum",2300
2016,Saskatchewan,"Wheat, durum",3300
2017,Saskatchewan,"Wheat, durum",2400
2018,Saskatchewan,"Wheat, durum",2344
2019,Saskatchewan,"Wheat, durum",2725
2020,Saskatchewan,"Wheat, durum",2777
2021,Saskatchewan,"Wheat, durum",1317
2022,Saskatchewan,"Wheat, durum",2324
2012,Saskatchewan,"Wheat, all excluding durum wheat",2500
2013,Saskatchewan,"Wheat, all excluding durum wheat",3300
2014,Saskatchewan,"Wheat, all excluding durum wheat",2700
2015,Saskatchewan,"Wheat, all excluding durum wheat",2700
2016,Saskatchewan,"Wheat, all excluding durum wheat",3100
2017,Saskatchewan,"Wheat, all excluding durum wheat",3217
2018,Saskatchewan,"Wheat, all excluding durum wheat",3202
2019,Saskatchewan,"Wheat, all excluding durum wheat",3173
2020,Saskatchewan,"Wheat, all excluding durum wheat",3342
2021,Saskatchewan,"Wheat, all excluding durum wheat",2260
2022,Saskatchewan,"Wheat, all excluding durum wheat",3199
2012,Alberta,Barley,3200
2013,Alberta,Barley,4100
2014,Alberta,Barley,3600
2015,Alberta,Barley,3700
2016,Alberta,Barley,4100
2017,Alberta,Barley,3900
2018,Alberta,Barley,3595
2019,Alberta,Barley,3890
2020,Alberta,Barley,3980
2021,Alberta,Barley,2551
2022,Alberta,Barley,4081
2012,Alberta,Canola (rapeseed),1900
2013,Alberta,Canola (rapeseed),2400
2014,Alberta,Canola (rapeseed),2100
2015,Alberta,Canola (rapeseed),2300
2016,Alberta,Canola (rapeseed),2500
2017,Alberta,Canola (rapeseed),2400
2018,Alberta,Canola (rapeseed),2172
2019,Alberta,Canola (rapeseed),2259
2020,Alberta,Canola (rapeseed),2253
2021,Alberta,Canola (rapeseed),1621
2022,Alberta,Canola (rapeseed),2134
2012,Alberta,Corn for grain,5800
2013,Alberta,Corn for grain,8100
2014,Alberta,Corn for grain,6400
2015,Alberta,Corn for grain,6800
2016,Alberta,Corn for grain,8100
2017,Alberta,Corn for grain,8400
2018,Alberta,Corn for grain,9077
2019,Alberta,Corn for grain,7783
2020,Alberta,Corn for grain,8857
2021,Alberta,Corn for grain,8980
2022,Alberta,Corn for grain,8677
2012,Alberta,Corn for silage,36030
2013,Alberta,Corn for silage,38300
2014,Alberta,Corn for silage,36390
2015,Alberta,Corn for silage,36150
2016,Alberta,Corn for silage,44800
2017,Alberta,Corn for silage,42990
2018,Alberta,Corn for silage,40633
2019,Alberta,Corn for silage,27508
2020,Alberta,Corn for silage,41046
2021,Alberta,Corn for silage,31433
2022,Alberta,Corn for silage,42218
2012,Alberta,"Peas, dry",2800
2013,Alberta,"Peas, dry",3200
2014,Alberta,"Peas, dry",2700
2015,Alberta,"Peas, dry",2200
2016,Alberta,"Peas, dry",3100
2017,Alberta,"Peas, dry",2700
2018,Alberta,"Peas, dry",2686
2019,Alberta,"Peas, dry",2390
2020,Alberta,"Peas, dry",2792
2021,Alberta,"Peas, dry",1545
2022,Alberta,"Peas, dry",2946
2012,Alberta,"Rye, all",2800
2013,Alberta,"Rye, all",3000
2014,Alberta,"Rye, all",2600
2015,Alberta,"Rye, all",2700
2016,Alberta,"Rye, all",2800
2017,Alberta,"Rye, all",3300
2018,Alberta,"Rye, all",3333
2019,Alberta,"Rye, all",3436
2020,Alberta,"Rye, all",3691
2021,Alberta,"Rye, all",3455
2022,Alberta,"Rye, all",3523
2017,Alberta,Soybeans,
2018,Alberta,Soybeans,1681
2019,Alberta,Soybeans,1856
2020,Alberta,Soybeans,
2021,Alberta,Soybeans,
2022,Alberta,Soybeans,
2012,Alberta,Sugar beets,59280
2013,Alberta,Sugar beets,67270
2014,Alberta,Sugar beets,71680
2015,Alberta,Sugar beets,68970
2016,Alberta,Sugar beets,71850
2017,Alberta,Sugar beets,73440
2018,Alberta,Sugar beets,76781
2019,Alberta,Sugar beets,71885
2020,Alberta,Sugar beets,70989
2021,Alberta,Sugar beets,77638
2022,Alberta,Sugar beets,78175
2012,Alberta,Triticale,2800
2013,Alberta,Triticale,3200
2014,Alberta,Triticale,2900
2015,Alberta,Triticale,3600
2016,Alberta,Triticale,3700
2017,Alberta,Triticale,3800
2018,Alberta,Triticale,3534
2019,Alberta,Triticale,3500
2020,Alberta,Triticale,3050
2021,Alberta,Triticale,1943
2022,Alberta,Triticale,2611
2012,Alberta,"Wheat, all",3200
2013,Alberta,"Wheat, all",3900
2014,Alberta,"Wheat, all",3400
2015,Alberta,"Wheat, all",3100
2016,Alberta,"Wheat, all",3900
2017,Alberta,"Wheat, all",3500
2018,Alberta,"Wheat, all",3345
2019,Alberta,"Wheat, all",3518
2020,Alberta,"Wheat, all",3750
2021,Alberta,"Wheat, all",2346
2022,Alberta,"Wheat, all",3742
2012,Alberta,"Wheat, durum",3000
2013,Alberta,"Wheat, durum",3500
2014,Alberta,"Wheat, durum",3100
2015,Alberta,"Wheat, durum",2300
2016,Alberta,"Wheat, durum",3600
2017,Alberta,"Wheat, durum",2500
2018,Alberta,"Wheat, durum",2394
2019,Alberta,"Wheat, durum",2154
2020,Alberta,"Wheat, durum",3261
2021,Alberta,"Wheat, durum",1535
2022,Alberta,"Wheat, durum",2751
2012,Alberta,"Wheat, all excluding durum wheat",3200
2013,Alberta,"Wheat, all excluding durum wheat",3900
2014,Alberta,"Wheat, all excluding durum wheat",3500
2015,Alberta,"Wheat, all excluding durum wheat",3200
2016,Alberta,"Wheat, all excluding durum wheat",4000
2017,Alberta,"Wheat, all excluding durum wheat",3700
2018,Alberta,"Wheat, all excluding durum wheat",3524
2019,Alberta,"Wheat, all excluding durum wheat",3675
2020,Alberta,"Wheat, all excluding durum wheat",3828
2021,Alberta,"Wheat, all excluding durum wheat",2482
2022,Alberta,"Wheat, all excluding durum wheat",3907
2012,British Columbia,Barley,3200
2013,British Columbia,Barley,3500
2014,British Columbia,Barley,2600
2015,British Columbia,Barley,3300
2016,British Columbia,Barley,3500
2017,British Columbia,Barley,3200
2018,British Columbia,Barley,3486
2019,British Columbia,Barley,3370
2020,British Columbia,Barley,2570
2021,British Columbia,Barley,2203
2022,British Columbia,Barley,3203
2012,British Columbia,Canola (rapeseed),1700
2013,British Columbia,Canola (rapeseed),2200
2014,British Columbia,Canola (rapeseed),1700
2015,British Columbia,Canola (rapeseed),1900
2016,British Columbia,Canola (rapeseed),2300
2017,British Columbia,Canola (rapeseed),2000
2018,British Columbia,Canola (rapeseed),2281
2019,British Columbia,Canola (rapeseed),2331
2020,British Columbia,Canola (rapeseed),1681
2021,British Columbia,Canola (rapeseed),1600
2022,British Columbia,Canola (rapeseed),1699
2018,British Columbia,Corn for grain,9624
2019,British Columbia,Corn for grain,9629
2020,British Columbia,Corn for grain,10263
2021,British Columbia,Corn for grain,
2022,British Columbia,Corn for grain,10351
2012,British Columbia,Corn for silage,50240
2013,British Columbia,Corn for silage,54600
2014,British Columbia,Corn for silage,49220
2015,British Columbia,Corn for silage,40250
2016,British Columbia,Corn for silage,51800
2017,British Columbia,Corn for silage,44920
2018,British Columbia,Corn for silage,45920
2019,British Columbia,Corn for silage,49920
2020,British Columbia,Corn for silage,46852
2021,British Columbia,Corn for silage,43532
2022,British Columbia,Corn for silage,39781
2012,British Columbia,"Peas, dry",
2013,British Columbia,"Peas, dry",
2014,British Columbia,"Peas, dry",2300
2015,British Columbia,"Peas, dry",2400
2016,British Columbia,"Peas, dry",2900
2017,British Columbia,"Peas, dry",2700
2018,British Columbia,"Peas, dry",2862
2019,British Columbia,"Peas, dry",2979
2020,British Columbia,"Peas, dry",1447
2021,British Columbia,"Peas, dry",1564
2022,British Columbia,"Peas, dry",2223
2012,British Columbia,"Rye, all",
2013,British Columbia,"Rye, all",
2014,British Columbia,"Rye, all",
2015,British Columbia,"Rye, all",
2016,British Columbia,"Rye, all",
2017,British Columbia,"Rye, all",
2018,British Columbia,"Rye, all",3406
2019,British Columbia,"Rye, all",3667
2020,British Columbia,"Rye, all",2429
2021,British Columbia,"Rye, all",
2022,British Columbia,"Rye, all",3770
2018,British Columbia,Soybeans,2556
2019,British Columbia,Soybeans,
2020,British Columbia,Soybeans,
2021,British Columbia,Soybeans,
2022,British Columbia,Soybeans,
2018,British Columbia,Sugar beets,
2019,British Columbia,Sugar beets,
2020,British Columbia,Sugar beets,
2021,British Columbia,Sugar beets,
2022,British Columbia,Sugar beets,
2018,British Columbia,Triticale,1847
2019,British Columbia,Triticale,
2020,British Columbia,Triticale,
2021,British Columbia,Triticale,
2022,British Columbia,Triticale,
2012,British Columbia,"Wheat, all",3200
2013,British Columbia,"Wheat, all",4000
2014,British Columbia,"Wheat, all",2900
2015,British Columbia,"Wheat, all",3400
2016,British Columbia,"Wheat, all",3900
2017,British Columbia,"Wheat, all",3600
2018,British Columbia,"Wheat, all",3796
2019,British Columbia,"Wheat, all",3821
2020,British Columbia,"Wheat, all",2919
2021,British Columbia,"Wheat, all",2492
2022,British Columbia,"Wheat, all",3299
2018,British Columbia,"Wheat, durum",2272
2019,British Columbia,"Wheat, durum",
2020,British Columbia,"Wheat, durum",
2021,British Columbia,"Wheat, durum",
2022,British Columbia,"Wheat, durum",1588
2012,British Columbia,"Wheat, all excluding durum wheat",3200
2013,British Columbia,"Wheat, all excluding durum wheat",4000
2014,British Columbia,"Wheat, all excluding durum wheat",2900
2015,British Columbia,"Wheat, all excluding durum wheat",3400
2016,British Columbia,"Wheat, all excluding durum wheat",3900
2017,British Columbia,"Wheat, all excluding durum wheat",3600
2018,British Columbia,"Wheat, all excluding durum wheat",3810
2019,British Columbia,"Wheat, all excluding durum wheat",3828
2020,British Columbia,"Wheat, all excluding durum wheat",2940
2021,British Columbia,"Wheat, all excluding durum wheat",2509
2022,British Columbia,"Wheat, all excluding durum wheat",3405
