Year,Province,Crop,Production
2021,Ontario,"Rye, fall remaining",74119
2022,Ontario,"Rye, fall remaining",69826
2018,Ontario,"Rye, spring",
2019,Ontario,"Rye, spring",800
2020,Ontario,"Rye, spring",2000
2021,Ontario,"Rye, spring",4017
2022,Ontario,"Rye, spring",
2012,Ontario,Soybeans,3401900
2013,Ontario,Soybeans,3238600
2014,Ontario,Soybeans,3791100
2015,Ontario,Soybeans,3728500
2016,Ontario,Soybeans,3429200
2017,Ontario,Soybeans,3796600
2018,Ontario,Soybeans,4200500
2019,Ontario,Soybeans,3708200
2020,Ontario,Soybeans,3908700
2021,Ontario,Soybeans,3955870
2022,Ontario,Soybeans,3996015
2012,Ontario,Sugar beets,
2013,Ontario,Sugar beets,
2014,Ontario,Sugar beets,
2015,Ontario,Sugar beets,
2016,Ontario,Sugar beets,
2017,Ontario,Sugar beets,
2018,Ontario,Sugar beets,
2019,Ontario,Sugar beets,383100
2020,Ontario,Sugar beets,281200
2021,Ontario,Sugar beets,268835
2022,Ontario,Sugar beets,269789
2018,Ontario,Triticale,700
2019,Ontario,Triticale,2700
2020,Ontario,Triticale,2200
2021,Ontario,Triticale,7480
2022,Ontario,Triticale,
2012,Ontario,"Wheat, all",1924200
2013,Ontario,"Wheat, all",2423800
2014,Ontario,"Wheat, all",1750000
2015,Ontario,"Wheat, all",1605700
2016,Ontario,"Wheat, all",2743300
2017,Ontario,"Wheat, all",2299700
2018,Ontario,"Wheat, all",2200000
2019,Ontario,"Wheat, all",1521700
2020,Ontario,"Wheat, all",2485300
2021,Ontario,"Wheat, all",2993000
2022,Ontario,"Wheat, all",2397339
2018,Ontario,"Wheat, durum",0
2019,Ontario,"Wheat, durum",0
2020,Ontario,"Wheat, durum",0
2021,Ontario,"Wheat, durum",
2022,Ontario,"Wheat, durum",
2012,Ontario,"Wheat, spring",133400
2013,Ontario,"Wheat, spring",113600
2014,Ontario,"Wheat, spring",122500
2015,Ontario,"Wheat, spring",217700
2016,Ontario,"Wheat, spring",171500
2017,Ontario,"Wheat, spring",114300
2018,Ontario,"Wheat, spring",121000
2019,Ontario,"Wheat, spring",151200
2020,Ontario,"Wheat, spring",146900
2021,Ontario,"Wheat, spring",166441
2022,Ontario,"Wheat, spring",157612
2012,Ontario,"Wheat, winter remaining",1790800
2013,Ontario,"Wheat, winter remaining",2310200
2014,Ontario,"Wheat, winter remaining",1627500
2015,Ontario,"Wheat, winter remaining",1388000
2016,Ontario,"Wheat, winter remaining",2571900
2017,Ontario,"Wheat, winter remaining",2185400
2018,Ontario,"Wheat, winter remaining",2079500
2019,Ontario,"Wheat, winter remaining",1370500
2020,Ontario,"Wheat, winter remaining",2338400
2021,Ontario,"Wheat, winter remaining",2826576
2022,Ontario,"Wheat, winter remaining",2227872
2012,Manitoba,Barley,618300
2013,Manitoba,Barley,756600
2014,Manitoba,Barley,354900
2015,Manitoba,Barley,598700
2016,Manitoba,Barley,587900
2017,Manitoba,Barley,437600
2018,Manitoba,Barley,500900
2019,Manitoba,Barley,528900
2020,Manitoba,Barley,686400
2021,Manitoba,Barley,439244
2022,Manitoba,Barley,657317
2012,Manitoba,Canola (rapeseed),2100100
2013,Manitoba,Canola (rapeseed),3025500
2014,Manitoba,Canola (rapeseed),2510600
2015,Manitoba,Canola (rapeseed),2857600
2016,Manitoba,Canola (rapeseed),2608200
2017,Manitoba,Canola (rapeseed),3147900
2018,Manitoba,Canola (rapeseed),3318400
2019,Manitoba,Canola (rapeseed),3056300
2020,Manitoba,Canola (rapeseed),3190700
2021,Manitoba,Canola (rapeseed),2800089
2022,Manitoba,Canola (rapeseed),3162428
2012,Manitoba,Corn for grain,815400
2013,Manitoba,Corn for grain,1219300
2014,Manitoba,Corn for grain,696000
2015,Manitoba,Corn for grain,787400
2016,Manitoba,Corn for grain,1168500
2017,Manitoba,Corn for grain,1270100
2018,Manitoba,Corn for grain,1200000
2019,Manitoba,Corn for grain,1185100
2020,Manitoba,Corn for grain,1140300
2021,Manitoba,Corn for grain,1004647
2022,Manitoba,Corn for grain,1331625
2012,Manitoba,Corn for silage,1134000
2013,Manitoba,Corn for silage,1814400
2014,Manitoba,Corn for silage,1356200
2015,Manitoba,Corn for silage,1859700
2016,Manitoba,Corn for silage,1814400
2017,Manitoba,Corn for silage,1238300
2018,Manitoba,Corn for silage,1545500
2019,Manitoba,Corn for silage,1612100
2020,Manitoba,Corn for silage,1643600
2021,Manitoba,Corn for silage,1411570
2022,Manitoba,Corn for silage,1473603
2012,Manitoba,Lentils,
2013,Manitoba,Lentils,
2014,Manitoba,Lentils,
2015,Manitoba,Lentils,
2016,Manitoba,Lentils,
2017,Manitoba,Lentils,
2018,Manitoba,Lentils,700
2019,Manitoba,Lentils,
2020,Manitoba,Lentils,
2021,Manitoba,Lentils,
2022,Manitoba,Lentils,
2012,Manitoba,"Peas, dry",64000
2013,Manitoba,"Peas, dry",67700
2014,Manitoba,"Peas, dry",60000
2015,Manitoba,"Peas, dry",78200
2016,Manitoba,"Peas, dry",164200
2017,Manitoba,"Peas, dry",80300
2018,Manitoba,"Peas, dry",104800
2019,Manitoba,"Peas, dry",163900
2020,Manitoba,"Peas, dry",246200
2021,Manitoba,"Peas, dry",200318
2022,Manitoba,"Peas, dry",255507
2012,Manitoba,"Rye, fall remaining",124500
2013,Manitoba,"Rye, fall remaining",86400
2014,Manitoba,"Rye, fall remaining",66000
2015,Manitoba,"Rye, fall remaining",78700
2016,Manitoba,"Rye, fall remaining",139700
2017,Manitoba,"Rye, fall remaining",132000
2018,Manitoba,"Rye, fall remaining",68200
2019,Manitoba,"Rye, fall remaining",130300
2020,Manitoba,"Rye, fall remaining",138500
2021,Manitoba,"Rye, fall remaining",105280
2022,Manitoba,"Rye, fall remaining",201343
2012,Manitoba,"Rye, spring",
2013,Manitoba,"Rye, spring",
2014,Manitoba,"Rye, spring",
2015,Manitoba,"Rye, spring",
2016,Manitoba,"Rye, spring",
2017,Manitoba,"Rye, spring",
2018,Manitoba,"Rye, spring",
2019,Manitoba,"Rye, spring",2300
2020,Manitoba,"Rye, spring",2900
2021,Manitoba,"Rye, spring",
2022,Manitoba,"Rye, spring",0
2012,Manitoba,Soybeans,770200
2013,Manitoba,Soybeans,1068200
2014,Manitoba,Soybeans,1107700
2015,Manitoba,Soybeans,1390700
2016,Manitoba,Soybeans,1769000
2017,Manitoba,Soybeans,2245300
2018,Manitoba,Soybeans,1731600
2019,Manitoba,Soybeans,1122300
2020,Manitoba,Soybeans,1162800
2021,Manitoba,Soybeans,1015853
2022,Manitoba,Soybeans,1318459
2012,Manitoba,Sugar beets,
2013,Manitoba,Sugar beets,
2014,Manitoba,Sugar beets,
2015,Manitoba,Sugar beets,
2016,Manitoba,Sugar beets,
2017,Manitoba,Sugar beets,
2018,Manitoba,Sugar beets,0
2019,Manitoba,Sugar beets,0
2020,Manitoba,Sugar beets,0
2021,Manitoba,Sugar beets,
2022,Manitoba,Sugar beets,0
2012,Manitoba,Triticale,
2013,Manitoba,Triticale,
2014,Manitoba,Triticale,
2015,Manitoba,Triticale,
2016,Manitoba,Triticale,
2017,Manitoba,Triticale,
2018,Manitoba,Triticale,2100
2019,Manitoba,Triticale,
2020,Manitoba,Triticale,
2021,Manitoba,Triticale,
2022,Manitoba,Triticale,
2012,Manitoba,"Wheat, all",3923000
2013,Manitoba,"Wheat, all",5160000
2014,Manitoba,"Wheat, all",3797500
2015,Manitoba,"Wheat, all",4218300
2016,Manitoba,"Wheat, all",4217400
2017,Manitoba,"Wheat, all",4475900
2018,Manitoba,"Wheat, all",4791600
2019,Manitoba,"Wheat, all",5050000
2020,Manitoba,"Wheat, all",5274100
2021,Manitoba,"Wheat, all",3762800
2022,Manitoba,"Wheat, all",4759348
2012,Manitoba,"Wheat, durum",
2013,Manitoba,"Wheat, durum",
2014,Manitoba,"Wheat, durum",
2015,Manitoba,"Wheat, durum",
2016,Manitoba,"Wheat, durum",
2017,Manitoba,"Wheat, durum",
2018,Manitoba,"Wheat, durum",
2019,Manitoba,"Wheat, durum",27300
2020,Manitoba,"Wheat, durum",35300
2021,Manitoba,"Wheat, durum",16759
2022,Manitoba,"Wheat, durum",53368
2012,Manitoba,"Wheat, spring",2946000
2013,Manitoba,"Wheat, spring",4376200
2014,Manitoba,"Wheat, spring",3326700
2015,Manitoba,"Wheat, spring",3850900
2016,Manitoba,"Wheat, spring",3895000
2017,Manitoba,"Wheat, spring",4358100
2018,Manitoba,"Wheat, spring",4717400
2019,Manitoba,"Wheat, spring",4955700
2020,Manitoba,"Wheat, spring",5184500
2021,Manitoba,"Wheat, spring",3686732
2022,Manitoba,"Wheat, spring",4668394
2012,Manitoba,"Wheat, winter remaining",977000
2013,Manitoba,"Wheat, winter remaining",783800
2014,Manitoba,"Wheat, winter remaining",470800
2015,Manitoba,"Wheat, winter remaining",367400
2016,Manitoba,"Wheat, winter remaining",322500
2017,Manitoba,"Wheat, winter remaining",117700
2018,Manitoba,"Wheat, winter remaining",60400
2019,Manitoba,"Wheat, winter remaining",67000
2020,Manitoba,"Wheat, winter remaining",54100
2021,Manitoba,"Wheat, winter remaining",59331
2022,Manitoba,"Wheat, winter remaining",37586
2012,Saskatchewan,Barley,2351400
2013,Saskatchewan,Barley,3411700
2014,Saskatchewan,Barley,2172900
2015,Saskatchewan,Barley,2863100
2016,Saskatchewan,Barley,3374700
2017,Saskatchewan,Barley,3135200
2018,Saskatchewan,Barley,3439200
2019,Saskatchewan,Barley,4449200
2020,Saskatchewan,Barley,4385100
2021,Saskatchewan,Barley,2499078
2022,Saskatchewan,Barley,3550934
2012,Saskatchewan,Canola (rapeseed),6486400
2013,Saskatchewan,Canola (rapeseed),9178400
2014,Saskatchewan,Canola (rapeseed),7971900
2015,Saskatchewan,Canola (rapeseed),9536800
2016,Saskatchewan,Canola (rapeseed),10682100
2017,Saskatchewan,Canola (rapeseed),11311000
2018,Saskatchewan,Canola (rapeseed),11308000
2019,Saskatchewan,Canola (rapeseed),11394000
2020,Saskatchewan,Canola (rapeseed),10967900
2021,Saskatchewan,Canola (rapeseed),6968814
2022,Saskatchewan,Canola (rapeseed),9768267
2012,Saskatchewan,Corn for grain,
2013,Saskatchewan,Corn for grain,
2014,Saskatchewan,Corn for grain,
2015,Saskatchewan,Corn for grain,
2016,Saskatchewan,Corn for grain,
2017,Saskatchewan,Corn for grain,
2018,Saskatchewan,Corn for grain,26600
2019,Saskatchewan,Corn for grain,
2020,Saskatchewan,Corn for grain,19300
2021,Saskatchewan,Corn for grain,16682
2022,Saskatchewan,Corn for grain,
2012,Saskatchewan,Corn for silage,208700
2013,Saskatchewan,Corn for silage,285800
2014,Saskatchewan,Corn for silage,285800
2015,Saskatchewan,Corn for silage,238600
2016,Saskatchewan,Corn for silage,580600
2017,Saskatchewan,Corn for silage,816500
2018,Saskatchewan,Corn for silage,965900
2019,Saskatchewan,Corn for silage,862900
2020,Saskatchewan,Corn for silage,427300
2021,Saskatchewan,Corn for silage,550792
2022,Saskatchewan,Corn for silage,474492
2012,Saskatchewan,Lentils,1469800
2013,Saskatchewan,Lentils,2151400
2014,Saskatchewan,Lentils,1902600
2015,Saskatchewan,Lentils,2364100
2016,Saskatchewan,Lentils,2742000
2017,Saskatchewan,Lentils,2294100
2018,Saskatchewan,Lentils,1991800
2019,Saskatchewan,Lentils,2209800
2020,Saskatchewan,Lentils,2497200
2021,Saskatchewan,Lentils,1420485
2022,Saskatchewan,Lentils,1963760
2012,Saskatchewan,"Peas, dry",2068400
2013,Saskatchewan,"Peas, dry",2571800
2014,Saskatchewan,"Peas, dry",2256200
2015,Saskatchewan,"Peas, dry",1778500
2016,Saskatchewan,"Peas, dry",2346100
2017,Saskatchewan,"Peas, dry",1973800
2018,Saskatchewan,"Peas, dry",1780700
2019,Saskatchewan,"Peas, dry",2313100
2020,Saskatchewan,"Peas, dry",2477700
2021,Saskatchewan,"Peas, dry",1105792
2022,Saskatchewan,"Peas, dry",1570412
2012,Saskatchewan,"Rye, fall remaining",148600
2013,Saskatchewan,"Rye, fall remaining",71100
2014,Saskatchewan,"Rye, fall remaining",80300
2015,Saskatchewan,"Rye, fall remaining",53300
2016,Saskatchewan,"Rye, fall remaining",152900
2017,Saskatchewan,"Rye, fall remaining",113000
2018,Saskatchewan,"Rye, fall remaining",42800
2019,Saskatchewan,"Rye, fall remaining",99300
2020,Saskatchewan,"Rye, fall remaining",119300
2021,Saskatchewan,"Rye, fall remaining",49564
2022,Saskatchewan,"Rye, fall remaining",84207
2012,Saskatchewan,"Rye, spring",
2013,Saskatchewan,"Rye, spring",
2014,Saskatchewan,"Rye, spring",
2015,Saskatchewan,"Rye, spring",
2016,Saskatchewan,"Rye, spring",
2017,Saskatchewan,"Rye, spring",
2018,Saskatchewan,"Rye, spring",
2019,Saskatchewan,"Rye, spring",3500
2020,Saskatchewan,"Rye, spring",2600
2021,Saskatchewan,"Rye, spring",2883
2022,Saskatchewan,"Rye, spring",
2012,Saskatchewan,Soybeans,
2013,Saskatchewan,Soybeans,118400
2014,Saskatchewan,Soybeans,163300
2015,Saskatchewan,Soybeans,179600
2016,Saskatchewan,Soybeans,202500
2017,Saskatchewan,Soybeans,479000
2018,Saskatchewan,Soybeans,231800
2019,Saskatchewan,Soybeans,107200
2020,Saskatchewan,Soybeans,68800
2021,Saskatchewan,Soybeans,44502
2022,Saskatchewan,Soybeans,36883
2018,Saskatchewan,Sugar beets,
2019,Saskatchewan,Sugar beets,0
2020,Saskatchewan,Sugar beets,0
2021,Saskatchewan,Sugar beets,0
2022,Saskatchewan,Sugar beets,0
2012,Saskatchewan,Triticale,16500
2013,Saskatchewan,Triticale,12700
2014,Saskatchewan,Triticale,16300
2015,Saskatchewan,Triticale,10400
2016,Saskatchewan,Triticale,22900
2017,Saskatchewan,Triticale,9800
2018,Saskatchewan,Triticale,23600
2019,Saskatchewan,Triticale,34700
2020,Saskatchewan,Triticale,16200
2021,Saskatchewan,Triticale,10259
2022,Saskatchewan,Triticale,31564
2012,Saskatchewan,"Wheat, all",12727300
2013,Saskatchewan,"Wheat, all",18298300
2014,Saskatchewan,"Wheat, all",14158100
2015,Saskatchewan,"Wheat, all",13044500
2016,Saskatchewan,"Wheat, all",14548600
2017,Saskatchewan,"Wheat, all",13185400
2018,Saskatchewan,"Wheat, all",14877100
2019,Saskatchewan,"Wheat, all",15360800
2020,Saskatchewan,"Wheat, all",16238400
2021,Saskatchewan,"Wheat, all",8833900
2022,Saskatchewan,"Wheat, all",15276375
2012,Saskatchewan,"Wheat, durum",3894500
2013,Saskatchewan,"Wheat, durum",5633600
2014,Saskatchewan,"Wheat, durum",4485100
2015,Saskatchewan,"Wheat, durum",4572200
2016,Saskatchewan,"Wheat, durum",6177900
2017,Saskatchewan,"Wheat, durum",3879000
2018,Saskatchewan,"Wheat, durum",4636100
2019,Saskatchewan,"Wheat, durum",4342400
2020,Saskatchewan,"Wheat, durum",5211200
2021,Saskatchewan,"Wheat, durum",2416061
2022,Saskatchewan,"Wheat, durum",4516489
2012,Saskatchewan,"Wheat, spring",8068000
2013,Saskatchewan,"Wheat, spring",12241500
2014,Saskatchewan,"Wheat, spring",9150500
2015,Saskatchewan,"Wheat, spring",8216500
2016,Saskatchewan,"Wheat, spring",7989600
2017,Saskatchewan,"Wheat, spring",9015800
2018,Saskatchewan,"Wheat, spring",10084900
2019,Saskatchewan,"Wheat, spring",10924400
2020,Saskatchewan,"Wheat, spring",10874500
2021,Saskatchewan,"Wheat, spring",6377062
2022,Saskatchewan,"Wheat, spring",10669336
2012,Saskatchewan,"Wheat, winter remaining",764800
2013,Saskatchewan,"Wheat, winter remaining",423200
2014,Saskatchewan,"Wheat, winter remaining",522500
2015,Saskatchewan,"Wheat, winter remaining",255800
2016,Saskatchewan,"Wheat, winter remaining",381000
2017,Saskatchewan,"Wheat, winter remaining",290500
2018,Saskatchewan,"Wheat, winter remaining",156100
2019,Saskatchewan,"Wheat, winter remaining",94000
2020,Saskatchewan,"Wheat, winter remaining",152700
2021,Saskatchewan,"Wheat, winter remaining",40759
2022,Saskatchewan,"Wheat, winter remaining",90550
2012,Alberta,Barley,4463300
2013,Alberta,Barley,5545400
2014,Alberta,Barley,4131300
2015,Alberta,Barley,4289200
2016,Alberta,Barley,4398000
2017,Alberta,Barley,3906000
2018,Alberta,Barley,3996300
2019,Alberta,Barley,4955200
2020,Alberta,Barley,5283000
2021,Alberta,Barley,3647938
2022,Alberta,Barley,5380670
2012,Alberta,Canola (rapeseed),5097200
2013,Alberta,Canola (rapeseed),6168900
2014,Alberta,Canola (rapeseed),5796900
2015,Alberta,Canola (rapeseed),5851300
2016,Alberta,Canola (rapeseed),6157500
2017,Alberta,Canola (rapeseed),6826600
2018,Alberta,Canola (rapeseed),5870600
2019,Alberta,Canola (rapeseed),5320100
2020,Alberta,Canola (rapeseed),5212100
2021,Alberta,Canola (rapeseed),4341000
2022,Alberta,Canola (rapeseed),5591701
2012,Alberta,Corn for grain,35600
2013,Alberta,Corn for grain,66000
2014,Alberta,Corn for grain,91400
2015,Alberta,Corn for grain,87600
2016,Alberta,Corn for grain,98000
2017,Alberta,Corn for grain,152900
2018,Alberta,Corn for grain,118300
2019,Alberta,Corn for grain,63300
2020,Alberta,Corn for grain,108600
2021,Alberta,Corn for grain,162127
2022,Alberta,Corn for grain,44024
2012,Alberta,Corn for silage,1138500
2013,Alberta,Corn for silage,1551300
2014,Alberta,Corn for silage,1251900
2015,Alberta,Corn for silage,1388000
2016,Alberta,Corn for silage,1814400
2017,Alberta,Corn for silage,1564900
2018,Alberta,Corn for silage,1660400
2019,Alberta,Corn for silage,1687600
2020,Alberta,Corn for silage,2018200
2021,Alberta,Corn for silage,1679647
2022,Alberta,Corn for silage,1866406
2012,Alberta,Lentils,68100
2013,Alberta,Lentils,110300
2014,Alberta,Lentils,84400
2015,Alberta,Lentils,176400
2016,Alberta,Lentils,451800
2017,Alberta,Lentils,264400
2018,Alberta,Lentils,199600
2019,Alberta,Lentils,167600
2020,Alberta,Lentils,370500
2021,Alberta,Lentils,169564
2022,Alberta,Lentils,334162
2012,Alberta,"Peas, dry",1208400
2013,Alberta,"Peas, dry",1321300
2014,Alberta,"Peas, dry",1475100
2015,Alberta,"Peas, dry",1314500
2016,Alberta,"Peas, dry",2271200
2017,Alberta,"Peas, dry",1991500
2018,Alberta,"Peas, dry",1608400
2019,Alberta,"Peas, dry",1685900
2020,Alberta,"Peas, dry",1799100
2021,Alberta,"Peas, dry",894598
2022,Alberta,"Peas, dry",1555344
2012,Alberta,"Rye, fall remaining",34300
2013,Alberta,"Rye, fall remaining",36300
2014,Alberta,"Rye, fall remaining",30900
2015,Alberta,"Rye, fall remaining",33000
2016,Alberta,"Rye, fall remaining",59700
2017,Alberta,"Rye, fall remaining",33500
2018,Alberta,"Rye, fall remaining",29700
2019,Alberta,"Rye, fall remaining",26700
2020,Alberta,"Rye, fall remaining",106500
2021,Alberta,"Rye, fall remaining",87066
2022,Alberta,"Rye, fall remaining",91244
2012,Alberta,"Rye, spring",
2013,Alberta,"Rye, spring",
2014,Alberta,"Rye, spring",
2015,Alberta,"Rye, spring",
2016,Alberta,"Rye, spring",
2017,Alberta,"Rye, spring",
2018,Alberta,"Rye, spring",
2019,Alberta,"Rye, spring",
2020,Alberta,"Rye, spring",
2021,Alberta,"Rye, spring",
2022,Alberta,"Rye, spring",
2017,Alberta,Soybeans,
2018,Alberta,Soybeans,11600
2019,Alberta,Soybeans,4900
2020,Alberta,Soybeans,
2021,Alberta,Soybeans,
2022,Alberta,Soybeans,
2012,Alberta,Sugar beets,598700
2013,Alberta,Sugar beets,598700
2014,Alberta,Sugar beets,580600
2015,Alberta,Sugar beets,503500
2016,Alberta,Sugar beets,811900
2017,Alberta,Sugar beets,771100
2018,Alberta,Sugar beets,854500
2019,Alberta,Sugar beets,520700
2020,Alberta,Sugar beets,833100
2021,Alberta,Sugar beets,942469
2022,Alberta,Sugar beets,1008825
2012,Alberta,Triticale,19100
2013,Alberta,Triticale,16900
2014,Alberta,Triticale,17500
2015,Alberta,Triticale,14500
2016,Alberta,Triticale,30200
2017,Alberta,Triticale,23200
2018,Alberta,Triticale,32000
2019,Alberta,Triticale,29200
2020,Alberta,Triticale,21600
2021,Alberta,Triticale,19415
2022,Alberta,Triticale,23372
2012,Alberta,"Wheat, all",8368800
2013,Alberta,"Wheat, all",11329000
2014,Alberta,"Wheat, all",9372800
2015,Alberta,"Wheat, all",8290000
2016,Alberta,"Wheat, all",10106600
2017,Alberta,"Wheat, all",9980100
2018,Alberta,"Wheat, all",10006100
2019,Alberta,"Wheat, all",10263200
2020,Alberta,"Wheat, all",11041000
2021,Alberta,"Wheat, all",6374900
2022,Alberta,"Wheat, all",11343305
2012,Alberta,"Wheat, durum",732100
2013,Alberta,"Wheat, durum",870900
2014,Alberta,"Wheat, durum",707600
2015,Alberta,"Wheat, durum",816500
2016,Alberta,"Wheat, durum",1583900
2017,Alberta,"Wheat, durum",1083200
2018,Alberta,"Wheat, durum",1134100
2019,Alberta,"Wheat, durum",647300
2020,Alberta,"Wheat, durum",1324700
2021,Alberta,"Wheat, durum",598923
2022,Alberta,"Wheat, durum",1194495
2012,Alberta,"Wheat, spring",7429900
2013,Alberta,"Wheat, spring",10169600
2014,Alberta,"Wheat, spring",8369100
2015,Alberta,"Wheat, spring",7247600
2016,Alberta,"Wheat, spring",8204400
2017,Alberta,"Wheat, spring",8720000
2018,Alberta,"Wheat, spring",8771600
2019,Alberta,"Wheat, spring",9512800
2020,Alberta,"Wheat, spring",9555900
2021,Alberta,"Wheat, spring",5597900
2022,Alberta,"Wheat, spring",9963746
2012,Alberta,"Wheat, winter remaining",206800
2013,Alberta,"Wheat, winter remaining",288500
2014,Alberta,"Wheat, winter remaining",296100
2015,Alberta,"Wheat, winter remaining",225900
2016,Alberta,"Wheat, winter remaining",318400
2017,Alberta,"Wheat, winter remaining",176900
2018,Alberta,"Wheat, winter remaining",100400
2019,Alberta,"Wheat, winter remaining",103100
2020,Alberta,"Wheat, winter remaining",160400
2021,Alberta,"Wheat, winter remaining",178034
2022,Alberta,"Wheat, winter remaining",185064
2012,British Columbia,Barley,55800
2013,British Columbia,Barley,85800
2014,British Columbia,Barley,42700
2015,British Columbia,Barley,67500
2016,British Columbia,Barley,58800
2017,British Columbia,Barley,37600
2018,British Columbia,Barley,60400
2019,British Columbia,Barley,63000
2020,British Columbia,Barley,61800
2021,British Columbia,Barley,63289
2022,British Columbia,Barley,76964
2012,British Columbia,Canola (rapeseed),82800
2013,British Columbia,Canola (rapeseed),88700
2014,British Columbia,Canola (rapeseed),71900
2015,British Columbia,Canola (rapeseed),70800
2016,British Columbia,Canola (rapeseed),81600
2017,British Columbia,Canola (rapeseed),90600
2018,British Columbia,Canola (rapeseed),123900
2019,British Columbia,Canola (rapeseed),72000
2020,British Columbia,Canola (rapeseed),55900
2021,British Columbia,Canola (rapeseed),66537
2022,British Columbia,Canola (rapeseed),68975
2018,British Columbia,Corn for grain,2300
2019,British Columbia,Corn for grain,1900
2020,British Columbia,Corn for grain,6600
2021,British Columbia,Corn for grain,
2022,British Columbia,Corn for grain,11838
2012,British Columbia,Corn for silage,467200
2013,British Columbia,Corn for silage,884500
2014,British Columbia,Corn for silage,635000
2015,British Columbia,Corn for silage,571500
2016,British Columbia,Corn for silage,839100
2017,British Columbia,Corn for silage,471700
2018,British Columbia,Corn for silage,836900
2019,British Columbia,Corn for silage,598000
2020,British Columbia,Corn for silage,364000
2021,British Columbia,Corn for silage,387534
2022,British Columbia,Corn for silage,387789
2018,British Columbia,Lentils,
2019,British Columbia,Lentils,
2020,British Columbia,Lentils,
2021,British Columbia,Lentils,
2022,British Columbia,Lentils,978
2012,British Columbia,"Peas, dry",
2013,British Columbia,"Peas, dry",
2014,British Columbia,"Peas, dry",18800
2015,British Columbia,"Peas, dry",29500
2016,British Columbia,"Peas, dry",54400
2017,British Columbia,"Peas, dry",66600
2018,British Columbia,"Peas, dry",74400
2019,British Columbia,"Peas, dry",56900
2020,British Columbia,"Peas, dry",31100
2021,British Columbia,"Peas, dry",28927
2022,British Columbia,"Peas, dry",25784
2012,British Columbia,"Rye, fall remaining",
2013,British Columbia,"Rye, fall remaining",
2014,British Columbia,"Rye, fall remaining",
2015,British Columbia,"Rye, fall remaining",
2016,British Columbia,"Rye, fall remaining",
2017,British Columbia,"Rye, fall remaining",
2018,British Columbia,"Rye, fall remaining",1400
2019,British Columbia,"Rye, fall remaining",4400
2020,British Columbia,"Rye, fall remaining",900
2021,British Columbia,"Rye, fall remaining",
2022,British Columbia,"Rye, fall remaining",
2018,British Columbia,"Rye, spring",
2019,British Columbia,"Rye, spring",0
2020,British Columbia,"Rye, spring",800
2021,British Columbia,"Rye, spring",
2022,British Columbia,"Rye, spring",
2018,British Columbia,Soybeans,500
2019,British Columbia,Soybeans,
2020,British Columbia,Soybeans,0
2021,British Columbia,Soybeans,
2022,British Columbia,Soybeans,0
2018,British Columbia,Sugar beets,0
2019,British Columbia,Sugar beets,0
2020,British Columbia,Sugar beets,
2021,British Columbia,Sugar beets,
2022,British Columbia,Sugar beets,0
2018,British Columbia,Triticale,500
2019,British Columbia,Triticale,
2020,British Columbia,Triticale,
2021,British Columbia,Triticale,
2022,British Columbia,Triticale,0
2012,British Columbia,"Wheat, all",96000
2013,British Columbia,"Wheat, all",151800
2014,British Columbia,"Wheat, all",109400
2015,British Columbia,"Wheat, all",134900
2016,British Columbia,"Wheat, all",139600
2017,British Columbia,"Wheat, all",61000
2018,British Columbia,"Wheat, all",102100
2019,British Columbia,"Wheat, all",111200
2020,British Columbia,"Wheat, all",61600
2021,British Columbia,"Wheat, all",58800
2022,British Columbia,"Wheat, all",110846
2018,British Columbia,"Wheat, durum",800
2019,British Columbia,"Wheat, durum",
2020,British Columbia,"Wheat, durum",0
2021,British Columbia,"Wheat, durum",
2022,British Columbia,"Wheat, durum",2958
2012,British Columbia,"Wheat, spring",96000
2013,British Columbia,"Wheat, spring",151800
2014,British Columbia,"Wheat, spring",109400
2015,British Columbia,"Wheat, spring",134900
2016,British Columbia,"Wheat, spring",139600
2017,British Columbia,"Wheat, spring",61000
2018,British Columbia,"Wheat, spring",87100
2019,British Columbia,"Wheat, spring",95700
2020,British Columbia,"Wheat, spring",51000
2021,British Columbia,"Wheat, spring",45779
2022,British Columbia,"Wheat, spring",97436
2012,British Columbia,"Wheat, winter remaining",
2013,British Columbia,"Wheat, winter remaining",
2014,British Columbia,"Wheat, winter remaining",
2015,British Columbia,"Wheat, winter remaining",
2016,British Columbia,"Wheat, winter remaining",
2017,British Columbia,"Wheat, winter remaining",
2018,British Columbia,"Wheat, winter remaining",14200
2019,British Columbia,"Wheat, winter remaining",15500
2020,British Columbia,"Wheat, winter remaining",10600
2021,British Columbia,"Wheat, winter remaining",12240
2022,British Columbia,"Wheat, winter remaining",10453
